site_id,verdict,fix_class,bf_verdict,counted,collected,url,note
cso-ie-en,FAKE_zero,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,388,https://www.cso.ie,완료인데 0건-차단/고장
cstb-fr-communiques-de-press,SUSPECT_nonew,UNDIAGNOSED,,48,48,,새문서0-死의심
dapa-go-kr-dapa,FAKE_zero,SKIP_dead,사망/무응답(HTTP000),0,970,https://www.dapa.go.kr,완료인데 0건-차단/고장
data-biodiversity-be-dataset,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,524,https://data.biodiversity.be,완료인데 0건-차단/고장
data-mfe-govt-nz-tables,SUSPECT_undercount,UNDIAGNOSED,,434,435,,측정<수집
dhs-gov-news-releases,SUSPECT_undercount,UNDIAGNOSED,,36,79,,측정<수집
dhs-gov-publication,FAKE_tiny,UNDIAGNOSED,,3,29,,극소카운트-차단의심
didaktorika-gr-eadd,SUSPECT_nonew,UNDIAGNOSED,,118,118,,새문서0-死의심
directives-doe-gov-directives-browse,SUSPECT_nonew,UNDIAGNOSED,,205,205,,새문서0-死의심
directives-doe-gov-guidance,SUSPECT_undercount,UNDIAGNOSED,,51,260,,측정<수집
doi-gov-bpp,SUSPECT_nonew,UNDIAGNOSED,,204,204,,새문서0-死의심
drugsandalcohol-ie-cgi,FAKE_broken,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),649,500,https://www.drugsandalcohol.ie,콘텐츠 있음(셀렉터 노후 의심)
economy-ni-gov-uk-publications,SUSPECT_undercount,UNDIAGNOSED,,539,583,,측정<수집
ejournals-epublishing-ekt-gr-indexphp,SUSPECT_undercount,UNDIAGNOSED,,381,474,,측정<수집
em-dk-aktuelt,SUSPECT_nonew,UNDIAGNOSED,,350,350,,새문서0-死의심
emsl-pnnl-gov-science,SUSPECT_nonew,UNDIAGNOSED,,6,6,,새문서0-死의심
en-iwhr-cn-iwhr-english-new,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,458,http://en.iwhr.cn,완료인데 0건-차단/고장
en-nim-ac-cn-taxonomy,SUSPECT_nonew,UNDIAGNOSED,,303,303,,새문서0-死의심
energy-gov-management,SUSPECT_nonew,UNDIAGNOSED,,388,388,,새문서0-死의심
eng-mod-gov-cn-2025xb,SUSPECT_nonew,UNDIAGNOSED,,10,10,,새문서0-死의심
english-cnipa-gov-cn-col,SUSPECT_nonew,UNDIAGNOSED,,353,353,,새문서0-死의심
english-mee-gov-cn-resources,FAKE_zero,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,20,https://english.mee.gov.cn,완료인데 0건-차단/고장
english-www-gov-cn-archive,SUSPECT_undercount,UNDIAGNOSED,,315,506,,측정<수집
ens-lyon-fr-lecole,SUSPECT_undercount,UNDIAGNOSED,,151,154,,측정<수집
environment-govt-nz-what-you-can-do,FAKE_zero,UNDIAGNOSED,,0,58,,완료인데 0건-차단/고장
eprints-soton-ac-uk-view,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,259,https://eprints.soton.ac.uk,완료인데 0건-차단/고장
ethniccommunities-govt-nz-resources,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,85,https://www.ethniccommunities.govt.nz,완료인데 0건-차단/고장
fi-se-en,SUSPECT_undercount,UNDIAGNOSED,,95,122,,측정<수집
fmi-ch-research,FAKE_zero,UNDIAGNOSED,,0,818,,완료인데 0건-차단/고장
forest-go-kr-kfsweb,SUSPECT_undercount,UNDIAGNOSED,,667,931,,측정<수집
genome-gov-about-nhgri,FAKE_tiny,UNDIAGNOSED,,1,42,,극소카운트-차단의심
graduateinstitute-ch-library,SUSPECT_undercount,UNDIAGNOSED,,213,398,,측정<수집
gsi-ie-en-ie,FAKE_zero,SKIP_dead,도메인이전→secure.decc.gov.ie,0,113,https://www.gsi.ie,완료인데 0건-차단/고장
hatvp-fr-actualites-et-public,SUSPECT_nonew,UNDIAGNOSED,,57,57,,새문서0-死의심
health-ni-gov-uk-news,SUSPECT_undercount,UNDIAGNOSED,,100,137,,측정<수집
hhs-gov-guidance,SUSPECT_undercount,UNDIAGNOSED,,58,267,,측정<수집
hi-no-en,SUSPECT_nonew,UNDIAGNOSED,,119,119,,새문서0-死의심
icp-fr-a-propos-de-licp,SUSPECT_nonew,UNDIAGNOSED,,99,99,,새문서0-死의심
ifau-se-press,SUSPECT_nonew,UNDIAGNOSED,,215,215,,새문서0-死의심
incheon-go-kr-ic010205,SUSPECT_undercount,UNDIAGNOSED,,660,1328,,측정<수집
ineris-fr-fr,FAKE_zero,UNDIAGNOSED,,0,141,,완료인데 0건-차단/고장
insee-fr-fr,FAKE_zero,UNDIAGNOSED,,0,223,,완료인데 0건-차단/고장
irsn-fr-actualites,SUSPECT_nonew,UNDIAGNOSED,,274,274,,새문서0-死의심
iucn-org-about-iucn,SUSPECT_nonew,UNDIAGNOSED,,19,19,,새문서0-死의심
iwhr-com-zgskywwnew,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,62,http://www.iwhr.com/zgskywwnew/ddjs/newskzs/N014809index_1.htm,완료인데 0건-차단/고장
jeonnam-go-kr-m7116,SUSPECT_undercount,UNDIAGNOSED,,440,770,,측정<수집
justitsministeriet-dk-forskning,SUSPECT_nonew,UNDIAGNOSED,,24,24,,새문서0-死의심
khs-go-kr-cop,SUSPECT_undercount,UNDIAGNOSED,,13,38,,측정<수집
khs-go-kr-newsbbz,FAKE_zero,UNDIAGNOSED,,0,1249,,완료인데 0건-차단/고장
kicce-re-kr-main,SUSPECT_undercount,UNDIAGNOSED,,9,368,,측정<수집
kice-re-kr-boardcnts,FAKE_broken,SKIP_spa,SPA/JS쉘(정적크롤 불가),939,500,https://www.kice.re.kr/boardCnts/list.do,SPA/JS쉘(정적크롤 불가)
kihasa-re-kr-publish,FAKE_zero,UNDIAGNOSED,,0,673,,완료인데 0건-차단/고장
klimaraadet-dk-da,SUSPECT_nonew,UNDIAGNOSED,,84,84,,새문서0-死의심
klri-re-kr-kor,SUSPECT_undercount,UNDIAGNOSED,,384,590,,측정<수집
kommunikasjon-ntb-no-presserom,SUSPECT_nonew,UNDIAGNOSED,,116,116,,새문서0-死의심
krihs-re-kr-krihslibraryreport,SUSPECT_undercount,UNDIAGNOSED,,150,168,,측정<수집
kwdi-re-kr-plaza,SUSPECT_undercount,UNDIAGNOSED,,454,819,,측정<수집
lavoro-gov-it-stampa-e-media,SUSPECT_undercount,UNDIAGNOSED,,20,340,,측정<수집
lib-cssn-cn-zy,SUSPECT_nonew,UNDIAGNOSED,,204,204,,새문서0-死의심
meri-belspo-be-site,SUSPECT_nonew,UNDIAGNOSED,,21,21,,새문서0-死의심
met-no-publikasjoner,FAKE_zero,UNDIAGNOSED,,0,116,,완료인데 0건-차단/고장
mfds-go-kr-brd,SUSPECT_undercount,UNDIAGNOSED,,410,461,,측정<수집
minscfa-gov-gr-grafeio-typou,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,626,https://minscfa.gov.gr,완료인데 0건-차단/고장
mnd-go-kr-user,FAKE_zero,SKIP_dead,사망/무응답(HTTP000),0,304,https://www.mnd.go.kr,완료인데 0건-차단/고장
moe-go-kr-boardcnts,SUSPECT_undercount,UNDIAGNOSED,,1047,1250,,측정<수집
mof-gov-cn-en,SUSPECT_nonew,UNDIAGNOSED,,9,9,,새문서0-死의심
mohrss-gov-cn-xxgk2020,SUSPECT_nonew,UNDIAGNOSED,,19,19,,새문서0-死의심
mpi-govt-nz-about-mpi,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,14,https://www.mpi.govt.nz,완료인데 0건-차단/고장
mpi-govt-nz-resources-and-forms,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,35,https://www.mpi.govt.nz,완료인데 0건-차단/고장
msit-go-kr-bbs,SUSPECT_nonew,UNDIAGNOSED,,488,488,,새문서0-死의심
mwr-gov-cn-zwgk,SUSPECT_nonew,UNDIAGNOSED,,18,18,,새문서0-死의심
nbb-be-en,SUSPECT_nonew,UNDIAGNOSED,,15,15,,새문서0-死의심
ncats-nih-gov-news-events,SUSPECT_undercount,UNDIAGNOSED,,6,19,,측정<수집
ncri-ie-en,SUSPECT_nonew,UNDIAGNOSED,,104,104,,새문서0-死의심
nesc-ie-publications,SUSPECT_nonew,UNDIAGNOSED,,121,121,,새문서0-死의심
nhc-gov-cn-wjw,SUSPECT_undercount,UNDIAGNOSED,,26,71,,측정<수집
nhlbi-nih-gov-resources,SUSPECT_undercount,UNDIAGNOSED,,271,325,,측정<수집
nia-nih-gov-news,SUSPECT_undercount,UNDIAGNOSED,,59,95,,측정<수집
nidcd-nih-gov-news,FAKE_broken,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),5,203,https://www.nidcd.nih.gov,콘텐츠 있음(셀렉터 노후 의심)
niddk-nih-gov-news,SUSPECT_undercount,UNDIAGNOSED,,99,124,,측정<수집
nim-ac-cn-taxonomy,SUSPECT_nonew,UNDIAGNOSED,,34,34,,새문서0-死의심
nimhd-nih-gov-news-events,SUSPECT_nonew,UNDIAGNOSED,,13,13,,새문서0-死의심
ninds-nih-gov-publications,SUSPECT_undercount,UNDIAGNOSED,,70,71,,측정<수집
nnsa-mee-gov-cn-english,SUSPECT_nonew,UNDIAGNOSED,,10,10,,새문서0-死의심
noc-ac-uk-publications,SUSPECT_undercount,UNDIAGNOSED,,25,234,,측정<수집
nps-or-kr-inforls,FAKE_zero,SKIP_dead,사망/무응답(HTTP000),0,115,https://www.nps.or.kr,완료인데 0건-차단/고장
nrc-re-kr-boardes,SUSPECT_undercount,UNDIAGNOSED,,237,470,,측정<수집
nupi-no-en,FAKE_zero,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,28,https://www.nupi.no,완료인데 0건-차단/고장
ons-gov-uk-search,SUSPECT_undercount,UNDIAGNOSED,,333,516,,측정<수집
opendatacommunities-org-data,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,3,https://opendatacommunities.org,완료인데 0건-차단/고장
openscience-si-naprednoiskanjeaspx,SUSPECT_undercount,UNDIAGNOSED,,19,30,,측정<수집
pbocri-org-cn-lnzy3html,FAKE_zero,PROBE_unknown,"불명(HTTP200, 12177B, 91링크)",0,8,https://www.pbocri.org.cn,완료인데 0건-차단/고장
pmc-gov-au-resources,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,129,https://www.pmc.gov.au,완료인데 0건-차단/고장
ptb-de-cms,SUSPECT_nonew,UNDIAGNOSED,,8,8,,새문서0-死의심
publicservice-govt-nz-data,SUSPECT_nonew,UNDIAGNOSED,,61,61,,새문서0-死의심
rcaanc-cirnac-gc-ca-eng,SUSPECT_nonew,UNDIAGNOSED,,33,33,,새문서0-死의심
reseau-canope-fr-espace-presse,SUSPECT_nonew,UNDIAGNOSED,,19,19,,새문서0-死의심
safefood-net-news,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,31,https://www.safefood.net,완료인데 0건-차단/고장
science-libraries-canada-ca-eng,SUSPECT_nonew,UNDIAGNOSED,,31,31,,새문서0-死의심
search-open-canada-ca-opendata,SUSPECT_undercount,UNDIAGNOSED,,80,5287,,측정<수집
search-worldcat-org-ko,SUSPECT_undercount,UNDIAGNOSED,,13,14,,측정<수집
seer-cancer-gov-report_to_nation,SUSPECT_nonew,UNDIAGNOSED,,24,24,,새문서0-死의심
sib-swiss-training,SUSPECT_undercount,UNDIAGNOSED,,67,74,,측정<수집
skillsdevelopmentscotland-co-uk-publications-statist,SUSPECT_undercount,UNDIAGNOSED,,487,488,,측정<수집
sm-dk-publikationer,SUSPECT_nonew,UNDIAGNOSED,,354,354,,새문서0-死의심
sonar-ch-global,SUSPECT_undercount,UNDIAGNOSED,,5364,5462,,측정<수집
transparency-gov-au-publications,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,2694,https://www.transparency.gov.au,완료인데 0건-차단/고장
transportation-gov-newsroom,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,205,https://www.transportation.gov,완료인데 0건-차단/고장
um-dk-om-os,SUSPECT_nonew,UNDIAGNOSED,,24,24,,새문서0-死의심
ungeneva-org-en,SUSPECT_undercount,UNDIAGNOSED,,91,93,,측정<수집
unidata-gv-at-pages,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,404,https://unidata.gv.at,완료인데 0건-차단/고장
vbs-admin-ch-en,SUSPECT_undercount,UNDIAGNOSED,,50,111,,측정<수집
vtg-admin-ch-en,SUSPECT_nonew,UNDIAGNOSED,,18,18,,새문서0-死의심
women-govt-nz-library,SUSPECT_nonew,UNDIAGNOSED,,14,14,,새문서0-死의심
www2-mrc-lmb-cam-ac-uk-research,SUSPECT_undercount,UNDIAGNOSED,,16,47,,측정<수집
