site_id,verdict
daejeon-go-kr-drh,된다
dair-dias-ie-cgi,된다
dapa-go-kr-dapa,안됨:점검필요
data-aeronomie-be-dataset,된다
data-biodiversity-be-dataset,된다
data-busan-go-kr-bdip,된다
data-e-gov-go-jp-data,된다
data-gouv-fr-organizations,된다
data-gov-au-data,된다
data-gov-be-nl,된다
data-gov-uk-search,된다
data-gv-at-datasets,된다
data-mfe-govt-nz-documents,된다
data-mfe-govt-nz-tables,된다
data-nasa-gov-dataset,된다
data-nist-gov-sdp,된다
data-statistik-gv-at-web,된다
data-taltech-ee-search,된다
datacatalogue-adruk-org-browser,된다
daten-berlin-de-datensaetze,된다
datenportal-bmbf-de-portal,된다
datos-gob-cl-dataset,된다
datos-gob-mx-agricultura,된다
datos-gob-mx-cultura,된다
datos-gob-mx-dataset,된다
datos-gob-mx-presupuesto,된다
datos-gob-mx-secretaria-salud,된다
datos-gob-mx-secretaria-trabajo,된다
datos-gob-mx-seguridad,된다
datos-gob-mx-territorio,된다
datos-gob-mx-turismo,된다
defence-gov-au-publications,된다
defence-govt-nz-publications,된다
defensa-gob-es-gabinete,된다
defense-gouv-fr-salle-de-presse,된다
defense-gov-news,된다
deltares-nl-en,된다
dfat-gov-au-publications,된다
dhs-gov-congressional-approp,된다
dhs-gov-news-releases,된다
dhs-gov-publication,된다
dia-govt-nz-diawebsitensf,된다
didaktorika-gr-eadd,된다
difesa-it-il-ministro,된다
differ-nl-publications,된다
digital-gob-es-comunicacion,된다
diplomatie-gouv-fr-en,된다
directives-doe-gov-directives-browse,된다
directives-doe-gov-guidance,된다
doaj-org-search,된다
doc-cerema-fr-default,안됨:폐쇄/네트워크
doi-gov-bpp,된다
dol-gov-newsroom,된다
doras-dcu-ie-view,된다
dpmc-govt-nz-publications,된다
drc-gov-cn-leafaspx,된다
drugsandalcohol-ie-cgi,된다
dspace-emu-ee-search,된다
dspace-ut-ee-search,된다
dst-dk-da,된다
dtic-dimensions-ai-discover,된다
e-stat-go-jp-stat-search,된다
earlham-ac-uk-newsroom,된다
earth-prints-org,된다
ec-lyon-hal-science-search,된다
ecat-ga-gov-au-geonetwork,된다
ecologie-gouv-fr-presse,된다
economie-fgov-be-nl,된다
economy-ni-gov-uk-news,된다
economy-ni-gov-uk-publications,된다
ed-gov-about,된다
eda-admin-ch-eda,된다
edi-admin-ch-de,된다
edoc-rki-de-handle,된다
educacionfpydeportes-gob-es-prensahtml,된다
education-govt-nz-our-work,된다
education-govt-nz-search,된다
education-ni-gov-uk-news,된다
edx-netl-doe-gov-group,된다
efd-admin-ch-en,된다
efk-admin-ch-fr,된다
ehesp-fr-espace-presse,된다
ehess-hal-science-search,된다
ejournals-epublishing-ekt-gr-indexphp,된다
elocus-lib-uoc-gr-search,된다
em-dk-aktuelt,된다
em-lyon-com-en,된다
emep-int-mscw,된다
emsl-pnnl-gov-science,된다
en-ird-fr-sections,된다
en-iwhr-cn-iwhr-english-new,안됨:점검필요
en-moj-gov-cn-lawsandregulationsht,된다
en-ndrc-gov-cn-policies,된다
en-nhc-gov-cn-publicationshtml,된다
en-nim-ac-cn-taxonomy,된다
enac-hal-science-search,된다
enc-hal-science-search,된다
energy-gov-management,된다
energy-gov-open-government,된다
energy-gov-search,된다
eng-mod-gov-cn-2025xb,된다
english-cnipa-gov-cn-col,된다
english-mee-gov-cn-resources,된다
english-www-gov-cn-archive,된다
enpc-hal-science-search,된다
ens-hal-science-search,된다
ens-lyon-fr-lecole,된다
ens-lyon-hal-science-search,된다
enscp-hal-science-search,된다
enssib-hal-science-search,된다
environment-govt-nz-acts-and-regulations,된다
environment-govt-nz-publications,된다
environment-govt-nz-what-you-can-do,된다
envt-hal-science-search,된다
epa-ie-news-releases,된다
eprints-imtlucca-it-cgi,된다
eprints-soton-ac-uk-view,된다
eprr-lanl-gov,안됨:수리(코드)
espci-hal-science-search,된다
esri-ie-publications,된다
esteri-it-it,된다
etera-ee-browse,된다
ethniccommunities-govt-nz-resources,안됨:점검필요
ethz-ch-de,된다
etis-ee-portal,된다
exteriores-gob-es-en,된다
fafo-no-en,된다
fair-healthdata-be-search,된다
federalregister-gov-documents,된다
fhi-no-en,된다
fi-se-en,된다
fibl-org-en,안됨:점검필요
finance-ni-gov-uk-publications,된다
flore-unifi-it,된다
fm-dk-udgivelser,된다
fmi-ch-research,된다
fmn-dk-da,된다
forest-go-kr-kfsweb,된다
forskningsradet-no-om-forskningsradet,된다
frontiersin-org-articles,된다
fss-or-kr-fss,된다
ftc-go-kr-www,된다
futureneurocentre-ie-our-research,된다
ga-gov-au-data-pubs,된다
garda-ie-en,된다
gb-go-kr-sub,된다
gcsp-ch-publications,된다
genome-gov-about-nhgri,된다
genomecanada-ca-about,된다
geoportal-statistics-gov-uk-search,된다
gi-re-kr-home,된다
gichd-org-publications-resourc,된다
github-com-orgs,된다
gnews-gg-go-kr-briefing,된다
gnewsonline-it-category,된다
go-griffith-ie-browse,된다
gob-mx-agricultura,된다
gob-mx-bienestar,된다
gob-mx-buengobierno,된다
gob-mx-defensa,된다
gob-mx-mujeres,된다
gob-mx-salud,된다
gob-mx-se,된다
gob-mx-sectur,된다
gob-mx-sedatu,된다
gob-mx-segob,된다
gob-mx-semar,된다
gob-mx-semarnat,된다
gob-mx-sep,된다
gob-mx-shcp,된다
gob-mx-sict,된다
gob-mx-sre,된다
gob-mx-sspc,된다
gob-mx-stps,된다
gov-gr-search,된다
gov-ie-en,된다
gov-il-collectors,된다
gov-scot-publications,된다
gov-scot-statistics-and-resea,된다
gov-uk-search,된다
gov-wales-publications,된다
government-se-publications,된다
graduateinstitute-ch-library,된다
gri-re-kr-web,된다
gsi-ie-en-ie,안됨:점검필요
gwangju-go-kr-boardlistdo,된다
gyeongnam-go-kr-board,된다
hal-science-afd,된다
hal-science-ign-ensg,된다
harcresearch-org-news,된다
harcresearch-org-research,된다
hatvp-fr-actualites-et-public,된다
hautconseilclimat-fr-ressources-pedagogiq,된다
hcsp-fr-explorecgi,된다
hea-ie-resources,된다
health-gov-au-publications,된다
health-govt-nz-publications,된다
health-ni-gov-uk-news,된다
health-ni-gov-uk-publications,된다
hec-edu-en,된다
hec-hal-science-search,된다
helios-eie-gr-helios,된다
hfml-felix-nl-en,된다
hhs-gov-guidance,된다
hi-no-en,된다
home-cern-news,된다
home-treasury-gov-about,된다
homeaffairs-gov-au-sitesearch,된다
hrb-ie-publications,된다
hrbopenresearch-org,된다
hud-govt-nz-documents,된다
hud-govt-nz-stats-and-insights,된다
humanrights-go-kr-base,된다
icn-artem-com-en,된다
icn-hal-science-search,된다
icp-fr-a-propos-de-licp,된다
icp-hal-science-search,된다
idiap-ch-en,된다
ifau-se-forskning,된다
ifau-se-press,된다
ifpenergiesnouvelles-fr-tags,된다
ifr-pan-edu-pl-dzialalnosc-naukowa,된다
ifremer-fr-fr,된다
ign-fr-espace-presse,된다
igualdad-gob-es-comunicacion,된다
iheid-swisscovery-ch-discovery,된다
ii-re-kr-base,된다
iisd-org-press,된다
illustro-iadt-figshare-com-search,된다
imt-nord-europe-hal-science-search,된다
incheon-go-kr-ic010205,된다
indicators-be-nl,된다
ineris-fr-fr,된다
ineris-hal-science-search,된다
info-daegu-go-kr-newshome,안됨:점검필요
info-korail-com-info,된다
infrastructure-ni-gov-uk-news,된다
inrae-fr-actualites,된다
inria-fr-fr,된다
inria-hal-science-search,된다
insee-fr-fr,된다
inserm-hal-science-search,된다
insight-centre-org-press-releases,된다
international-andra-fr-documents-and-visual,된다
international-canada-ca-en,된다
international-gc-ca-transparency-transpa,된다
ir-arcnl-nl,된다
ir-cwi-nl,된다
ir-lib-uth-gr-xmlui,된다
irb-usi-ch-publications,된다
ird-hal-science-search,된다
iris-unitn-it,된다
irpp-org-about-the-irpp,된다
irpp-org-media,된다
irsn-fr-actualites,된다
isae-ensma-hal-science-search,된다
issibern-ch-outreach,된다
issibern-ch-results,된다
issnationallab-org-about,된다
issnationallab-org-press-releases,된다
issnationallab-org-publications,된다
issnationallab-org-research-and-science,된다
iucn-org-about-iucn,된다
iucn-org-press-releases,된다
iucn-org-resources,된다
ivo-se-sok,된다
iwhr-com-zgskywwnew,안됨:점검필요
jeju-go-kr-news,된다
jeonnam-go-kr-m7116,안됨:폐쇄/네트워크
jgi-doe-gov-user-science,된다
jic-ac-uk-news-events,된다
jsearch-mwr-gov-cn-irs-c-web,된다
julkaisut-valtioneuvosto-fi-search,된다
justice-gouv-fr-documentation,된다
justice-gov-news,된다
justice-govt-nz-publications,안됨:IP차단
justice-ni-gov-uk-publications,된다
justitsministeriet-dk-forskning,된다
justitsministeriet-dk-pressemeddelelse,된다
juventudeinfancia-gob-es-es,된다
kamco-or-kr-portal,된다
kammarkollegiet-se-aktuellt,된다
kasa-go-kr-bbs,된다
kb-se-om-oss,된다
kcg-go-kr-kcg,된다
kdca-go-kr-kdca,된다
kedi-re-kr-khome,된다
keei-re-kr-boardes,된다
kefm-dk-aftaler,된다
kei-re-kr-eliblistes,된다
keis-or-kr-keis,된다
kepco-co-kr-home,된다
kfss-forest-go-kr-stat,된다
khs-go-kr-cop,된다
khs-go-kr-newsbbz,된다
kicce-re-kr-main,된다
kice-re-kr-boardcnts,된다
kicj-re-kr-boardes,된다
kiep-go-kr-galleryes,된다
kihasa-re-kr-news,된다
kihasa-re-kr-publish,된다
kinfa-or-kr-notificationpromotio,된다
kinu-or-kr-main,된다
kipa-re-kr-html,된다
kipf-re-kr-bbs,된다
kipf-re-kr-kor,된다
kipo-go-kr-ko,된다
kirj-ee-archive,된다
kisdi-re-kr-bbs,된다
kisdi-re-kr-report,된다
kit-nl-institute,된다
kjonnsforskning-no-nb,된다
kli-re-kr-kli,된다
kliimaministeerium-ee-otsing,된다
klimaraadet-dk-da,된다
klri-re-kr-kor,된다
kma-go-kr-kma,된다
kmcc-go-kr-userdo,된다
kmi-re-kr-web,된다
kna-forest-go-kr-kfsweb,된다
knmi-nl-kennis-en-datacentru,된다
knowledge-barnardos-ie-browse,된다
kommunekredit-com-about-us,된다
kommunikasjon-ntb-no-presserom,된다
kostat-go-kr-boardes,된다
koti-re-kr-user,된다
krei-re-kr-krei,된다
krihs-re-kr-boardes,된다
krihs-re-kr-krihslibraryarticle,된다
krihs-re-kr-krihslibraryreport,된다
krivet-re-kr,된다
krivet-re-kr-kor,된다
kwdi-re-kr-plaza,된다
kwdi-re-kr-publications,된다
lavoro-gov-it-stampa-e-media,된다
lecese-fr-espace-presse,된다
lenus-ie-browse,된다
lib-cssn-cn-zy,된다
library-kwrwater-nl-en,된다
libreria-educacion-gob-es-p,된다
llnl-gov-news,된다
lne-fr-fr,된다
mafra-go-kr-home,된다
marine-ie-site-area,된다
masaf-gov-it-flex,된다
mbie-govt-nz-building-and-energy,된다
mef-gov-it-ufficio-stampa,된다
mem-gov-cn-fw,된다
mentalhealthcommission-ca-resources,된다
meri-belspo-be-site,된다
met-no-publikasjoner,된다
meteofrance-fr-actualite,된다
meteoswiss-admin-ch-services-and-publica,된다
mfat-govt-nz-en,된다
mfds-go-kr-brd,된다
mi-se-arkiv,된다
migration-gov-gr-press,된다
miit-gov-cn-zc,된다
miit-gov-cn-zwgk,된다
mim-gov-it-web,된다
mimit-gov-it-it,된다
minagric-gr-the-ministry-2,된다
mindev-gov-gr-category,된다
mindigital-gr-archives,된다
minedu-gov-gr-grafeio-typoy-kai-di,된다
minfin-gov-gr-grafeio-typou,안됨:점검필요
ministeroturismo-gov-it-category,된다
ministryofjustice-gr,된다
minrel-gob-cl-minrel,된다
minscfa-gov-gr-grafeio-typou,안됨:점검필요
mintour-gov-gr-deltia-typoy,된다
miteco-gob-es-es,된다
mivau-gob-es-el-ministerio,된다
mma-go-kr-board,된다
mnd-go-kr-user,안됨:폐쇄/네트워크
mod-mil-gr-category,된다
moe-go-kr-boardcnts,된다
moe-gov-cn-jyb_sjzl,된다
moe-gov-cn-jyb_xwfb,된다
moe-gov-cn-jyb_xxgk,된다
moef-go-kr-nw,된다
mof-go-kr-doc,된다
mof-gov-cn-en,된다
mofa-go-kr-www,된다
mofe-go-kr-id,된다
mogef-go-kr-nw,된다
moh-gov-gr-articles,된다
mohrss-gov-cn-xxgk2020,된다
mohw-go-kr-boardes,된다
mois-go-kr-frt,된다
moj-go-kr-moj,된다
moleg-go-kr-boardes,된다
molit-go-kr-usr,된다
motir-go-kr-kor,된다
mpi-govt-nz-about-mpi,된다
mpi-govt-nz-resources-and-forms,안됨:폐쇄/네트워크
mpva-go-kr-mpva,된다
msd-govt-nz-about-msd-and-our-wo,된다
msit-go-kr-bbs,된다
mss-go-kr-site,된다
mva-gov-cn-gongkai,된다
mwr-gov-cn-english,된다
mwr-gov-cn-zwgk,된다
naacc-go-kr-web,된다
nasa-gov-2025-news-releases,된다
nationalacademies-org-publications,된다
naturalengland-defra-opendata-arcgis-com-search,된다
nbb-be-en,된다
ncats-nih-gov-news-events,된다
nccih-nih-gov-news,된다
ncha-gov-cn-col,된다
ncri-ie-en,된다
neac-gov-cn-seac,된다
nec-go-kr-site,안됨:점검필요
nei-nih-gov-about,된다
nei-nih-gov-learn-about-eye-heal,된다
nemertes-library-upatras-gr-browse,된다
nemertes-library-upatras-gr-search,된다
nersc-no-en,된다
nesc-ie-publications,된다
netl-doe-gov-advsearch,된다
netl-doe-gov-energy-analysis,된다
netl-doe-gov-fecm-external-r-and-,된다
netl-doe-gov-search-r-d-publicati,된다
news-admin-ch-en,된다
news-fnal-gov-category,된다
newsreleases-sandia-gov-archives-by-year,된다
nfa-go-kr-nfa,된다
nfra-gov-cn-cn,된다
nhc-gov-cn-wjw,된다
nhlbi-nih-gov-about,된다
nhlbi-nih-gov-resources,된다
nhmrc-gov-au-publications,된다
nia-nih-gov-news,된다
niaaa-nih-gov-news-events,된다
niams-nih-gov-newsroom,된다
nibib-nih-gov-news-events,된다
nibio-no-en,된다
nichd-nih-gov-newsroom,된다
nida-nih-gov-news-events,된다
nida-nih-gov-research-topics,된다
nidcd-nih-gov-news,안됨:수리(코드)
nidcd-nih-gov-order,안됨:점검필요
nidcr-nih-gov-news-events,된다
niddk-nih-gov-news,된다
nidi-nl-en,된다
niehs-nih-gov-newsreleases,된다
nifu-no-en,된다
nigms-nih-gov-news,된다
nih-gov-news-events,안됨:점검필요
nih-gov-press-room,안됨:점검필요
nikhef-nl-pub,된다
nim-ac-cn-taxonomy,된다
nimh-nih-gov-news,된다
nimhd-nih-gov-news-events,된다
nin-nl-publications,된다
nina-no-english,된다
ninds-nih-gov-news-events,된다
ninds-nih-gov-publications,된다
nioo-knaw-nl-en,된다
nisra-gov-uk-publications,된다
nist-gov-publications,된다
nistdigitalarchives-contentdm-oclc-org-digital,된다
nivel-nl-en,된다
nkvts-no-english,된다
nnsa-mee-gov-cn-english,된다
noc-ac-uk-about-us,된다
noc-ac-uk-publications,된다
nofima-com-publication,된다
nora-nerc-ac-uk-view,된다
nordlandsforskning-no-en,된다
nps-or-kr-inforls,된다
nps-or-kr-pnsgdnc,된다
nrc-re-kr-boardes,된다
nrscotland-gov-uk-publications,된다
ntp-niehs-nih-gov-publications,된다
ntrs-nasa-gov-search,된다
nts-go-kr-nts,된다
nupi-no-en,된다
nypi-re-kr,된다
nypi-re-kr-board,된다
nzpri-aut-ac-nz-document-library,된다
oig-treasury-gov-other-reports-testim,된다
oka-go-kr-web,된다
olympias-lib-uoi-gr-jspui,안됨:폐쇄/네트워크
om-mp-be-nl,안됨:점검필요
onera-fr-fr,된다
ons-gov-uk-search,된다
open-science-canada-ca-communities,된다
openaccess-inaf-it,된다
openaire-eu-os-slovenia,된다
opendata-centralbank-ie-dataset,된다
opendata-dk-search,된다
opendatacommunities-org-data,안됨:점검필요
opengov-seoul-go-kr-research,된다
openresearch-repository-anu-edu-au-search,된다
openscience-si-naprednoiskanjeaspx,된다
opm-go-kr-opm,된다
osr-statisticsauthority-gov-uk-publications-list,된다
ostrnrcan-dostrncan-canada-ca-search,된다
ots-at-pressemappe,된다
par-nsf-gov-search,된다
pasteur-fr-en,된다
pbc-gov-cn-en,된다
pbl-nl-en,된다
pbocri-org-cn-lnzy3html,된다
pbocri-org-cn-xslwhtml,된다
pembina-org-media-releases,된다
pergamos-lib-uoa-gr-search,된다
phfscience-nz-digital-library,된다
phfscience-nz-news-publications,된다
plan-be-nl,된다
pleanala-ie-en-ie,된다
pmc-gov-au-resources,안됨:점검필요
pnnl-gov-news,된다
police-go-kr-user,된다
policyalternatives-ca-news-research,된다
politie-be-statistieken,된다
polytechnique-edu-presse,된다
polytechnique-hal-science-search,된다
portaldiplomatico-mne-gov-pt-en,된다
ppforum-ca-press-releases,된다
pps-go-kr-kor,된다
presse-cnam-fr-communiques,된다
presse-curie-fr-section,된다
presse-economie-gouv-fr,된다
prism-go-kr-homepage,된다
provenienzforschung-gv-at-empfehlungen-des-bei,된다
psi-ch-en,된다
ptb-de-cms,된다
publications-idiap-ch-publications,된다
publichealthscotland-scot-publications,된다
publicsafety-gc-ca-cnt,된다
publicservice-govt-nz-data,된다
publicservice-govt-nz-research-and-data,된다
publikationen-bundesregierung-de-pp-de,된다
pubs-drdc-rddc-gc-ca-basis,된다
pubs-usgs-gov,된다
pubshop-bmbwf-gv-at-indexphp,된다
pure-mpg-de-search,된다
rcaanc-cirnac-gc-ca-eng,된다
rda-go-kr-board,된다
rdr-kuleuven-be-dataverse,된다
regjeringen-no-en,안됨:점검필요
reglementation-controle-asnr-fr-information,된다
regulation-govt-nz-about-us,된다
repo-lib-duth-gr-jspui,된다
reports-nlr-nl-collections,된다
repositorio-uchile-cl-discover,된다
repository-cern-search,된다
repository-lboro-ac-uk,된다
repository-library-noaa-gov-view,된다
repository-naturalis-nl,된다
repository-tno-nl-doclist,된다
research-collection-ethz-ch-search,된다
research-imt-nord-europe-fr-news,된다
research-thea-ie-browse,된다
researchrepository-ul-ie-search,된다
reseau-canope-fr-espace-presse,된다
rfi-ac-uk-latest,된다
rigsrevisionen-dk-revisionssager,된다
rijksoverheid-nl-documenten,된다
ris-bka-gv-at-ergebniswxe,된다
rki-de-de,된다
rosap-ntl-bts-gov-cbrowse,된다
ruomoplus-lib-uom-gr-simple-search,된다
saemangeum-go-kr-sda,된다
safefood-net-news,된다
salute-gov-it-new,된다
samr-gov-cn-zw,된다
sandia-gov-news,된다
sante-gouv-fr-ministere,된다
santepubliquefrance-fr-presse,된다
sastind-gov-cn-n10086200,된다
scaht-org-en,된다
science-astron-nl-science-astron,된다
science-libraries-canada-ca-eng,된다
scourt-go-kr-portal,된다
scp-nl-publicaties,된다
search-nal-usda-gov-discovery,된다
search-open-canada-ca-opendata,된다
search-worldcat-org-ko,된다
secihti-mx-sala-de-prensa,된다
seco-admin-ch-seco,된다
seer-cancer-gov-report_to_nation,된다
sejong-go-kr-bbs,된다
sfi-ch-en,된다
sgu-se-en,된다
si-re-kr-bbs,된다
sib-swiss-community,된다
sib-swiss-training,된다
simula-no-publications,된다
sintef-no-en,된다
siseministeerium-ee-otsing,된다
skillsdevelopmentscotland-co-uk-publications-statist,된다
skm-dk-aktuelt,된다
sm-dk-publikationer,된다
sm-ee-otsing,안됨:점검필요
socialstyrelsen-se-en,된다
sodha-be-dataverse,된다
sonar-ch-global,된다
sozialministerium-gv-at-services,된다
spo-go-kr-site,된다
srnl-gov-newsroom,된다
stami-no-en,된다
stat-inst-se-om-sis,된다
state-gov-department-reports,된다
state-gov-press-releases,된다
state-gwd-go-kr-portal,된다
statistischebibliothek-de-mir,된다
stats-govt-nz-indicators,된다
stats-govt-nz-publications,안됨:수리(코드)
stepi-re-kr-site,된다
swisspeace-ch-publications,된다
swisspolar-ch-expeditions,된다
swisstph-ch-en,된다
telemarksforsking-no-publikasjoner,된다
tigta-gov-reports,된다
toi-no-publications,된다
transformation-gouv-fr-espace-presse,된다
transparency-gov-au-publications,된다
transport-govt-nz-documents-and-public,된다
transportation-gov-newsroom,된다
transportes-gob-es-el-ministerio,된다
treasury-gov-au-publication,된다
treasury-govt-nz-publications,된다
trm-dk-nyheder,된다
ufm-dk-publikationer,된다
ukdataservice-ac-uk-2026,된다
ulsan-go-kr-u,된다
um-dk-om-os,된다
ungeneva-org-en,된다
unidata-gv-at-pages,된다
unikorea-go-kr-web,된다
usgs-gov-news,된다
ustat-mur-gov-it,된다
uvek-admin-ch-en,된다
va-gov-vetdata,된다
vbs-admin-ch-en,된다
vlaanderen-be-nieuwsberichten,된다
vtg-admin-ch-en,된다
wallonie-be-fr,된다
waltoninstitute-ie-research,된다
wbf-admin-ch-en,된다
wef-infor-cl-indexphp,된다
werk-belgie-be-nl,된다
who-int-publications,된다
wodc-nl-documenten,된다
women-govt-nz-library,된다
wti-org-research,된다
www2-mrc-lmb-cam-ac-uk-research,된다
www6-slac-stanford-edu-news-and-events,된다
xxgk-mot-gov-cn-2020,된다
yme-gr-2013-01-31-06-37-23,된다
ypen-gov-gr-category,된다
ypergasias-gov-gr-category,안됨:점검필요
ypes-gr-category,된다
